title,series_type,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes
Khawatir,SHOW,2005,TV-14,20,reality,,tt3062514,9.6,3046
Breaking Bad,SHOW,2008,TV-MA,48,"drama, thriller, crime",US,tt0903747,9.5,1727694
Avatar: The Last Airbender,SHOW,2005,TV-Y7,24,"scifi, family, fantasy, animation, action",US,tt0417299,9.3,297336
Kota Factory,SHOW,2019,TV-MA,42,"drama, comedy",IN,tt9432978,9.3,66985
Our Planet,SHOW,2019,TV-G,50,documentation,GB,tt9253866,9.3,41386
Reply 1988,SHOW,2015,TV-14,95,"comedy, drama, family, romance",KR,tt5182866,9.2,6557
My Mister,SHOW,2018,TV-14,79,"drama, family",KR,tt7923710,9.2,5481
Who Rules The World,SHOW,2022,TV-PG,44,"drama, fantasy, romance",CN,tt14950036,9.2,81
Arcane,SHOW,2021,TV-14,41,"action, scifi, drama, fantasy, animation",US,tt11126994,9.1,175412
The Last Dance,SHOW,2020,TV-MA,50,"documentation, history, sport",US,tt8420184,9.1,108321
Attack on Titan,SHOW,2013,TV-MA,24,"scifi, action, drama, fantasy, horror, animation",JP,tt2560140,9,325381
DEATH NOTE,SHOW,2006,TV-14,24,"scifi, animation, crime, drama, fantasy, thriller",JP,tt0877057,9,302147
Hunter x Hunter,SHOW,2011,TV-14,23,"drama, action, comedy, crime, animation, documentation, family, fantasy",JP,tt2098220,9,87857
David Attenborough: A Life on Our Planet,MOVIE,2020,PG,83,documentation,GB,tt11989890,9,31180
C/o Kancharapalem,MOVIE,2018,PG,152,drama,IN,tt7391996,9,6562
Leah Remini: Scientology and the Aftermath,SHOW,2016,TV-14,46,"documentation, history",US,tt6244192,9,5761
Okupas,SHOW,2000,TV-MA,40,"crime, drama",AR,tt0289649,9,2326
No Longer Kids,MOVIE,1979,,235,"comedy, drama",EG,tt8312792,9,943
"Raja, Rasoi Aur Anya Kahaniyaan",SHOW,2014,,29,"history, documentation",IN,tt6953924,9,327
Seinfeld,SHOW,1989,TV-PG,24,comedy,US,tt0098904,8.9,302700
When They See Us,SHOW,2019,TV-MA,74,"drama, history, crime",US,tt7137906,8.9,114127
Cowboy Bebop,SHOW,1998,TV-14,25,"western, action, scifi, thriller, animation, comedy, drama",JP,tt0213338,8.9,112887
Heartstopper,SHOW,2022,TV-14,28,"drama, romance",GB,tt10638036,8.9,28978
Still Game,SHOW,2002,TV-14,29,"comedy, european",GB,tt0281491,8.9,7539
Inception,MOVIE,2010,PG-13,148,"scifi, music, thriller, action","GB, US",tt1375666,8.8,2268288
Forrest Gump,MOVIE,1994,PG-13,142,"drama, romance, comedy",US,tt0109830,8.8,1994599
Black Mirror,SHOW,2011,TV-MA,59,"scifi, thriller, drama, european",GB,tt2085059,8.8,515577
Peaky Blinders,SHOW,2013,TV-MA,58,"drama, crime, european",GB,tt2442560,8.8,485506
Better Call Saul,SHOW,2015,TV-MA,49,"comedy, drama, crime",US,tt3032476,8.8,404920
Narcos,SHOW,2015,TV-MA,52,"drama, thriller, crime",US,tt2707408,8.8,404486
BoJack Horseman,SHOW,2014,TV-MA,26,"drama, comedy, animation",US,tt3398228,8.8,143584
One Piece,SHOW,1999,TV-14,23,"action, comedy, animation, drama, fantasy",JP,tt0388629,8.8,112586
Monty Python's Flying Circus,SHOW,1969,TV-14,30,"comedy, european",GB,tt0063929,8.8,72895
Chappelle's Show,SHOW,2003,TV-14,21,"comedy, music",US,tt0353049,8.8,62140
The Untamed,SHOW,2019,TV-14,44,"action, comedy, romance, drama, fantasy, horror",CN,tt10554898,8.8,5963
Hospital Playlist,SHOW,2020,TV-14,90,"comedy, drama",KR,tt11769304,8.8,4836
Navillera,SHOW,2021,,64,drama,KR,tt13885302,8.8,2024
Stories by Rabindranath Tagore,SHOW,2015,TV-PG,43,drama,IN,tt4853764,8.8,1295
Sky Tour: The Movie,MOVIE,2020,,94,"documentation, music",,tt12486200,8.8,1036
StoryBots Super Songs,SHOW,2016,TV-Y,21,"animation, family",US,tt6163070,8.8,167
Stranger Things,SHOW,2016,TV-14,52,"scifi, drama, fantasy, horror, thriller",US,tt4575572,8.7,989090
House of Cards,SHOW,2013,TV-MA,52,drama,US,tt1856010,8.7,494092
Dark,SHOW,2017,TV-MA,56,"scifi, crime, drama, thriller",DE,tt5753856,8.7,354443
Arrested Development,SHOW,2003,TV-MA,28,comedy,US,tt0367279,8.7,297552
Downton Abbey,SHOW,2010,TV-14,58,"drama, romance, european",GB,tt1606375,8.7,197744
The Crown,SHOW,2016,TV-MA,56,"drama, history, european","US, GB",tt4786824,8.7,190878
One-Punch Man,SHOW,2015,TV-PG,24,"action, fantasy, scifi, animation, comedy",JP,tt4508902,8.7,148386
Demon Slayer: Kimetsu no Yaiba,SHOW,2019,TV-MA,25,"animation, scifi, action, fantasy, thriller, horror",JP,tt9335498,8.7,88265
Friday Night Lights,SHOW,2006,TV-14,43,"drama, sport",US,tt0758745,8.7,64449
Code Geass: Lelouch of the Rebellion,SHOW,2006,TV-14,24,"scifi, animation, action, drama, thriller, war",JP,tt0994314,8.7,62367
Anne with an E,SHOW,2017,TV-G,46,"drama, family",CA,tt5421602,8.7,51001
Bo Burnham: Inside,MOVIE,2021,R,87,"comedy, drama, music, reality",US,tt14545352,8.7,44074
Anbe Sivam,MOVIE,2003,,160,"comedy, drama",IN,tt0367495,8.7,20595
Greatest Events of WWII in Colour,SHOW,2019,,50,"documentation, history, war",GB,tt9103932,8.7,8508
Tear Along the Dotted Line,SHOW,2021,TV-14,19,"drama, comedy, animation",IT,tt15614372,8.7,7595
Mr. Sunshine,SHOW,2018,TV-MA,76,"drama, action, history, romance, war",KR,tt7094780,8.7,6855
Twenty Five Twenty One,SHOW,2022,TV-14,76,"drama, romance",KR,tt17513352,8.7,4081
Dave Chappelle,SHOW,2017,,60,"comedy, documentation",US,tt6963504,8.7,2753
